abseil-cpp 20240722.0-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.13.2-3
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
amd-ucode 20240909.552ed9b8-1
appmenu-gtk-module 24.05-1
archlinux-keyring 20240709-2
argon2 20190702-6
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attr 2.5.2-1
atuin 18.2.0-2
audit 4.0.2-2
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
awesome-terminal-fonts 1.1.0-5
base 3-2
base-devel 1-2
bash 5.2.032-2
bash-completion 2.14.0-2
bat 0.24.0-2
bind 9.20.2-1
binutils 2.42+r91+g6224493e457-1
bison 3.8.2-8
bluez-libs 5.78-1
bridge-utils 1.7.1-2
brotli 1.1.0-2
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.104-1
ca-certificates-utils 20240618-1
caddy 2.8.4-1
cairo 1.18.2-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.3-1
cargo-lambda-bin 1.4.0-1
cargo-watch 8.5.2-1
cfitsio 1:4.5.0-1
cifs-utils 7.0-5
clang 18.1.8-2
clang16 16.0.6-1
cmake 3.30.3-2
compiler-rt 18.1.8-1
compiler-rt16 16.0.6-1
confuse 3.3-4
containerd 1.7.22-1
coreutils 9.5-2
cowsay 3.8.3-1
cppdap 1.58.0-2
cryptsetup 2.7.5-1
curl 8.10.1-1
dav1d 1.4.3-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dconf 0.40.0-3
debugedit 5.0-6
default-cursors 3-1
desktop-file-utils 0.27-1
device-mapper 2.03.26-1
diffutils 3.10-1
dnssec-anchors 20190629-4
docker 1:27.2.1-1
docker-buildx 0.17.1-1
docker-compose 2.29.7-1
dosfstools 4.2-5
dpkg 1.22.11-1
duf 0.8.1-3
duktape 2.7.0-7
dunst 1.11.0-1
dust 1.1.1-1
e2fsprogs 1.47.1-4
efibootmgr 18-3
efivar 39-1
expat 2.6.3-2
fakeroot 1.36-1
fd 10.2.0-1
feh 3.10.3-1
ffmpeg 2:7.0.2-3.1
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-2
firefox 130.0.1-1
flac 1.4.3-2
flex 2.6.4-5
fontconfig 2:2.15.0-2
fortune-mod 3.20.0-2
freetype2 2.13.3-1
fribidi 1.0.15-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.1.1+r1+g43b730b9134-1
gcc-libs 14.1.1+r1+g43b730b9134-1
gdbm 1.24-1
gdk-pixbuf-xlib 2.40.2-3
gdk-pixbuf2 2.42.12-1
gettext 0.22.5-2
giflib 5.2.2-1
git 2.46.2-1
git-delta 0.18.2-1
glib-networking 1:2.80.0-3
glib2 2.82.1-1
glibc 2.39+r52+gf8e4623421-1
glibmm 2.66.7-1
glow 2.0.0-1
glslang 14.3.0-1
gmp 6.3.0-2
gnu-free-fonts 20120503-8
gnupg 2.4.5-5
gnutls 3.8.7-1
go 2:1.23.1-1
gperftools 2.15-1
gpgme 1.23.2-6
gpm 1.20.7.r38.ge82d1a6-6
graphite 1:1.3.14-4
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-3
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsm 1.0.22-2
gtest 1.15.2-1
gtk-update-icon-cache 1:4.16.1-2
gtk3 1:3.24.43-3
gtkmm3 3.24.9-1
guile 3.0.10-1
gzip 1.13-4
harfbuzz 9.0.0-1
helm 3.16.1-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.3.0-3
http-parser 2.9.4-2
httpie 3.2.3-1
hwdata 0.387-1
hwloc 2.11.1-1
i3-wm 4.23-4
i3blocks 1.5-4
i3status 2.15-1
iana-etc 20240814-1
icu 75.1-1
imath 3.1.12-1
imlib2 1.12.3-2
iproute2 6.11.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
jack2 1.9.22-1
jansson 2.14-4
java-runtime-common 3-5
jbigkit 2.1-8
jemalloc 1:5.3.0-4
jq 1.7.1-2
jre-openjdk 22.0.2.u9-1
json-c 0.18-1
json-glib 1.10.0-1
jsoncpp 1.9.6-3
kbd 2.6.4-3
keychain 2.8.5-3
keyutils 1.6.3-3
kmod 33-3
krb5 1.21.3-1
kubectl 1.31.1-1
kubectx 0.9.5-1
l-smash 2.14.5-4
lame 3.100-5
lcms2 2.16-1
ldb 2:4.21.0-2
ldns 1.8.4-1
less 1:661-1
libarchive 3.7.6-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libavc1394 0.5.4-6
libbluray 1.3.4-2
libbpf 1.4.3-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libcap 2.70-1
libcap-ng 0.8.5-2
libcgif 0.4.1-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libconfig 1.7.3-3
libcups 2:2.4.10-1
libdaemon 0.14-6
libdatrie 0.2.13-4
libdeflate 1.21-1
libdnet 1.17.0-1
libdovi 3.3.1-1
libdrm 2.4.123-1
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libedit 20240517_3.1-1
libei 1.3.0-1
libelf 0.191-4
libepoxy 1.5.10-3
libev 4.33-3
libevdev 1.13.3-1
libevent 2.1.12-4
libexif 0.6.24-3
libfabric 1.22.0-1
libffi 3.4.6-1
libfontenc 1.1.8-1
libgcrypt 1.11.0-2
libgit2 1:1.8.1-1
libglvnd 1.7.0-1
libgpg-error 1.50-1
libgsf 1.14.52-1
libgudev 238-1
libice 1.1.1-3
libidn2 2.3.7-1
libiec61883 1.2.0-8
libimagequant 4.3.3-1
libinput 1.26.2-1
libisl 0.27-1
libjpeg-turbo 3.0.4-1
libjxl 0.11.0-1
libksba 1.6.7-1
libldap 2.6.8-2
libluv 1.48.0_2-1
libmaxminddb 1.11.0-1
libmd 1.1.0-2
libmm-glib 1.22.0-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmspack 1:1.11-1
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.24-2
libnfnetlink 1.0.2-2
libnftnl 1.2.7-1
libnghttp2 1.63.0-1
libnghttp3 1.5.0-1
libnl 3.10.0-1
libnm 1.48.10-1
libnotify 0.8.3-1
libnsl 2.0.1-1
libogg 1.3.5-2
libomxil-bellagio 0.9.3-5
libopenmpt 0.7.10-1
libp11-kit 0.25.5-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.8-1
libplacebo 7.349.0-2
libpng 1.6.44-1
libproxy 0.5.8-1
libpsl 0.21.5-2
libpulse 17.0-3
libraw1394 2.1.2-4
librsvg 2:2.59.0-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.5-3
libsecret 0.21.4-1
libsigc++ 2.12.0-1
libsm 1.2.4-2
libsndfile 1.2.2-2
libsodium 1.0.20-1
libsoup3 3.6.0-1
libsoxr 0.1.3-4
libssh 0.11.1-1
libssh2 1.11.0-1
libstemmer 2.2.0-2
libsysprof-capture 47.0-1
libtasn1 4.19.0-2
libteam 1.32-2
libtermkey 0.22-3
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.7.0-1
libtirpc 1.3.5-1
libtool 2.4.7+83+g7b091831-1
libunibreak 6.1-1
libunistring 1.2-1
libunwind 1.8.1-3
liburcu 0.14.1-1
liburing 2.7-1
libusb 1.0.27-1
libutempter 1.2.1-4
libutf8proc 2.9.0-1
libuv 1.48.0-2
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvips 8.15.3-1
libvorbis 1.3.7-3
libvpx 1.14.1-1
libvterm 0.3.3-2
libwacom 2.13.0-1
libwbclient 2:4.21.0-2
libwebp 1.4.0-2
libx11 1.8.10-1
libxau 1.0.11-3
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.36-2
libxcursor 1.2.2-1
libxcvt 0.1.2-2
libxdamage 1.1.6-2
libxdg-basedir 1.2.3-2
libxdmcp 1.1.5-1.1
